Iteration;Objective;Time (s) 
5;-1.70520665e6;485.3
6;-1.70520665e6;563.9
7;-1.67445797e6;642.0
8;-818454.71;722.1
9;-818454.71;799.2
10;-818454.71;877.2
Iteration;Objective;Time (s) 
1;-59055.17;402.7
2;-51214.7;608.4
3;-38169.62;807.7
4;-38169.62;1014.4
5;-30558.06;1223.4
6;-23129.42;1428.8
Iteration;Objective;Time (s) 
1;-35225.2;257.6
2;-31258.44;372.8
3;-27974.01;489.6
4;-27974.01;619.1
5;-27974.01;764.9
6;-24657.79;883.3
7;-24657.79;1010.8
8;-24657.79;1130.5
9;-20648.88;1237.1
10;-20648.88;1343.5
11;-18304.49;1441.7
12;-14769.47;1553.0
13;-14769.47;1669.6
14;-14769.47;1812.4
15;-14769.47;1926.4
16;-12943.21;2059.2
17;-10330.22;2157.4
18;-10330.22;2255.0
19;-9135.05;2351.5
20;-9135.05;2451.3
Iteration;Objective;Time (s) 
1;-46251.12;215.4
2;-36885.04;327.3
Iteration;Objective;Time (s) 
1;-58274.19;202.5
2;-58274.19;301.6
3;-54282.1;401.3
4;-54282.1;499.1
5;-36725.77;611.1
6;-34217.6;727.5
7;-34217.6;844.4
8;-34014.04;966.4
9;-24782.72;1081.0
10;-19970.42;1192.1
11;-19970.42;1308.3
12;-13645.39;1418.4
13;-13211.43;1530.9
14;-13211.43;1645.5
15;-12101.9;1764.4
16;-12101.9;1878.6
17;-11366.2;1995.0
18;-9458.92;2110.9
19;-9458.92;2229.4
20;-9458.92;2350.8
Iteration;Objective;Time (s) 
1;-110350.08;197.1
2;-110350.08;401.0
3;-110350.08;490.1
4;-110350.08;580.1
5;-97743.25;667.0
6;-94948.72;751.6
7;-88921.86;897.1
8;-88921.86;983.2
9;-84176.25;1067.9
10;-82712.37;1173.0
11;-78490.96;1258.4
12;-70435.1;1344.3
13;-70435.1;1579.3
14;-64144.77;1666.1
15;-64144.77;1751.5
16;-64144.77;1840.9
17;-64144.77;1930.7
18;-64144.77;2017.4
19;-64144.77;2592.0
20;-64144.77;2678.6
Iteration;Objective;Time (s) 
1;64883.54;40.4
2;64883.54;52.9
3;64883.54;65.3
Iteration;Objective;Time (s) 
1;56322.42;24.8
2;58371.16;36.9
3;62497.75;48.9
Iteration;Objective;Time (s) 
1;64385.1;25.3
2;64385.1;37.8
3;64385.1;50.9
Iteration;Objective;Time (s) 
1;63920.22;24.8
2;64896.42;37.1
3;64896.42;49.3
4;64896.42;61.6
5;64896.42;73.8
6;64896.42;86.1
7;64896.42;98.5
8;64896.42;110.9
9;65143.72;123.3
10;65143.72;135.6
Iteration;Objective;Time (s) 
1;-942315.24;23.3
2;-937810.19;34.8
3;-937810.19;46.3
4;-937810.19;57.7
5;-937522.33;69.1
6;-937522.33;80.6
7;-937522.33;92.0
8;-937522.33;103.5
9;-937522.33;114.9
10;-937522.33;126.6
Iteration;Objective;Time (s) 
1;65801.28;24.2
2;65801.28;36.4
3;65801.28;48.6
4;67158.0;60.7
5;67158.0;72.6
6;67158.0;84.5
7;67158.0;96.4
8;67158.0;108.3
9;67158.0;120.2
10;67158.0;132.2
